item,location,figure_file,source_data,generating_script,status,notes
Figure 1,Main manuscript,figures/main_paper/Figure01_workflow.pdf,,Manual artwork,final,Workflow schematic; no numerical Source Data.
Figure 2,Main manuscript,figures/main_paper/Figure02_weight_functions.pdf,Source_Data/Figure02_weight_functions_source_data.csv,scripts/figures/plot_main_figures_02_09.R,verified,Schematic thresholds satisfy Q1 < Q2 < Q3 < Q3*.
Figure 3,Main manuscript,figures/Simulation_1/Figure03_simulation1_gmm_pc10_clustering_ari_nmi.pdf,Source_Data/Figure03_simulation1_gmm_pc10_clustering_ari_nmi_source_data.csv; Source_Data/simulation_figures_input_alpha005.csv,scripts/figures/plot_simulation1_clustering_combined.R,verified,GMM PC10 ARI/NMI means over 10 repeats.
Figure 4,Main manuscript,figures/Simulation_2/Figure04_simulation2_subspace.pdf,Source_Data/subspace_figures_input_alpha005.csv,scripts/figures/plot_simulation_support_from_source_data.R,verified,Source-Data-only regeneration; dropout.mid=0 is the identity reference.
Figure 5,Main manuscript,figures/Simulation_2/Figure05_simulation2_rank.pdf,Source_Data/subspace_figures_input_alpha005.csv,scripts/figures/plot_simulation_support_from_source_data.R,verified,Rank 1 is best; dropout.mid=0 identity reference is not ranked.
Figure 6,Main manuscript,figures/Real_data/Figure06_realdata_gmm_pc10_ari.pdf,Source_Data/Figure06_realdata_gmm_pc10_ari_source_data.csv,scripts/figures/plot_realdata_from_source_data.R,verified,"PBMC RNA-only, Pancreas, and Bhattacherjee use validated formal results with PCP scores X %*% V; outer subset and inner clustering-run identifiers are retained."
Figure 7,Main manuscript,figures/Real_data/Figure07_realdata_subspace_pc10.pdf,Source_Data/Figure07_realdata_subspace_pc10_source_data.csv,scripts/figures/plot_realdata_from_source_data.R,verified,"The PCP XV correction does not change loading vectors or subspaces; the prior validated 20-replicate values remain exact."
Figure 8,Main manuscript,figures/Runtime/Figure08_runtime_scaling.pdf,Source_Data/Figure08_runtime_scaling_source_data.csv; Source_Data/runtime_benchmark_results_matched.csv; Source_Data/runtime_benchmark_summary_matched.csv,scripts/figures/plot_runtime_from_source_data.R,verified,Matched nested-input benchmark; median and IQR across five independent replicate-level inputs; one thread per method process.
Figure 9,Main manuscript,figures/main_paper/Figure09_method_comparison.pdf,Source_Data/Figure09_method_summary_source_data.csv; Source_Data/Figure09_evidence_table.csv,scripts/figures/build_figure09_evidence.R; scripts/figures/plot_main_figures_02_09.R,verified,"Runtime feasibility restored as the sixth evidence dimension from the matched Figure 8 benchmark; evidence table contains 60 method-dimension rows. The rendered table omits the redundant Core estimator column, while estimator metadata remain in Source Data. Mechanism labels use explicit terminology for projection pursuit, pairwise spatial signs, and distance weighting."
Figure S1,Supplementary Material,figures/Appendix/FigureS01_simulation1_gmm_pc10_ari_with_k.pdf,Source_Data/FigureS01_simulation1_gmm_pc10_ari_with_k_source_data.csv; Source_Data/simulation_figures_input_alpha005.csv,scripts/figures/plot_simulation_support_from_source_data.R,verified,Mean GMM PC10 ARI with mean BIC-selected component count over 10 simulation repeats; true group count is five.
